"courseNameEdit","n"
"Government",55
"Civics and Economics",48
"US History",20
"Law and Justice",7
"Business and Entrepreneurship",4
"English",4
"World History",4
"Community Service",3
"Current Affairs",3
"j-ROTC",3
"freshmen seminar",2
"human geography",2
"Inquiry",2
"personal finance",2
"*it's pushed in all classes through our pbl curriculum",1
"african american studies",1
"ais senior seminar",1
"allied health",1
"american indian studies",1
"avid",1
"careers",1
"community action project",1
"constitutional issues (participates in we the people competition)",1
"crime and justice",1
"ethics and leadership",1
"foods",1
"health teen relations",1
"high school seminar",1
"holocaust & genocide",1
"honors global cultures",1
"honors global systems",1
"honors horticulture",1
"introduction to political science",1
"introduction to sociology",1
"leadership development",1
"model united nations",1
"rhetoric",1
"sociology",1
"teacher cadet",1
"the art of the argument",1
"us",1
