Primary_Key,School Number,School Year,School Name,Official School Name,LEA Number,LEA Name,Name Prefix Description,Principal First Name,Principal Middle Name,Principal Last Name,Principal Name Suffix,Principal Email,Address Line1,Address Line2,City,State,Zip Code 5,Zip Code 4,Phone Office Area,Phone Office Exch,Phone Office Line,Phone Fax Area,Phone Fax Exch,Phone Fax Line ,Mailing Address Line1,Mailing Address Line2,Mailing City,Mailing State,Mailing Zip Code 5,Mailing Zip Code 4,URL School Address,Sch Operational Status,Sch Operational Status Desc,Opening Effective Date,Closing Date,School Type,School Type Desc,School Program Type,School Program Type Desc,Grade Level Current,Grade Level Approved,Grade Level First Year,Title I,School Calendar Type,School Calendar Description,Extended Hours,School Schedule Type,School Schedule Type Desc,School Designation Type,School Designation Desc,SBE Region,SBE Region Names,Accreditation Status,Accreditation Status Desc,Federal School Number,College Board Number,School Membership,School Year For Sch Membership,School Teacher Count,School Year For Teachers,Cooperative Innovative HS,Cooperative MMYYYY SBE Approve,First Yr Est ADM,First Yr Est Paid Teacher FTE,Newly Constructed Facility,Occupancy Date,What Facility Will Sch Occupy,Share Space,Share Space Describe,New Sch Population From,List Of Closing Schools,County Code,County Description,Opening In School Year,Locale Type,Locale Type Desc,School Closings?,School Systartstatus,Record Created Timestamp,Record Created By,Last Changed Timestamp,Last Changed By
00A0002018,00A000,2018,NC Connections Academy,North Carolina Connections Academy,00A,NC Connections Academy,Dr,Nathan,-,Currie,-,ncurrie@ncca.connectionsacademy.org,2700 Meridian Parkway,Suite 300,Durham,NC,27713,-,919,224,4040,919,361,6321,-,-,-,-,-,-,http://www.connectionsacademy.com/north-carolina-virtual-school/home.aspx,1,Open,1-Jul-15,-,R,Regular School,N,None,KG:01:02:03:04:05:06:07:08:09:10:11,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09,-,T,Traditional,-,S,Semester,C,Charter,3,North Central,-,-,3.70039E+11,341070,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,Durham,2016,12,"City, Midsize",-,-,03-11-2015 12:00AM,nicola_lefler,08-30-2017 02:56PM,nicola_lefler
00B0002018,00B000,2018,NC Virtual Academy,NC Virtual Academy,00B,NC Virtual Academy,-,Joel,-,Medley,-,jomedley@k12.com,4220 NC Highway 55,Suite 130,Durham,NC,27713,-,919,346,121,919,324,6597,-,-,-,-,-,-,http://ncva.k12.com/,1,Open,1-Jul-15,-,R,Regular School,N,None,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10,-,T,Traditional,-,S,Semester,C,Charter,3,North Central,-,-,3.7004E+11,341071,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,Durham,2016,41,"Rural, Fringe",-,-,03-11-2015 12:00AM,nicola_lefler,08-30-2017 02:57PM,nicola_lefler
103032018,10303,2018,Alamance-Burlington Middle/Early College,Alamance-Burlington Middle/Early College High School,10,Alamance-Burlington Schools,Ms,Bonnie ,-,Roane,-,bonnie_roane@abss.k12.nc.us,1247 Jimmie Kerr Road,-,Graham,NC,27253,-,336,506,4001,336,506,4004,PO Box 8000,-,Graham,NC,27253,-,http://amc.abss.k12.nc.us,1,Open,2-Jan-06,-,R,Regular School,C,Cooperative Innovative High School,09:10:11:12:13,09:10:11:12:13,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,-,-,3.70003E+11,341546,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,01-31-2017 11:32AM,john_achey
103042018,10304,2018,Alexander Wilson Elementary,Alexander Wilson Elementary,10,Alamance-Burlington Schools,Ms,Ashley,-,Westmoreland,-,ashley_westmoreland@abss.k12.nc.us,2518 NC 54,-,Graham,NC,27253,-,336,578,1366,336,578,8092,-,-,-,-,-,-,http://awe.abss.k12.nc.us,1,Open,30-Jun-90,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:49AM,iris_scott
103082018,10308,2018,Altamahaw Ossipee Elem,Altamahaw Ossipee Elem,10,Alamance-Burlington Schools,Ms,Kristen,-,Gravely,-,kristen_gravely@abss.k12.nc.us,2832 N NC 87,-,Elon,NC,27244,-,336,538,6030,336,538,6032,-,-,-,-,-,-,http://aoe.abss.k12.nc.us,1,Open,30-Jun-90,-,R,Regular School,N,None,KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103102018,10310,2018,Broadview Middle,Broadview Middle,10,Alamance-Burlington Schools,Ms,Yolanda,-,Anderson,-,yolanda_anderson@abss.k12.nc.us,2229 Broadview Drive,-,Burlington,NC,27217,4303,336,570,6195,336,570,6202,-,-,-,-,-,-,http://brm.abss.k12.nc.us/,1,Open,30-Jun-96,-,R,Regular School,N,None,6:07:08,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103112018,10311,2018,Career Technical Education Center,Career Technical Education Center,10,Alamance-Burlington Schools,Mr,Darrelll,-,Thomas,-,darrell_thomas@abss.k12.nc.us,2550 Buckingham Road,-,Burlington,NC,27217,-,336,570,6092,336,570,6093,-,-,-,-,-,-,-,1,Open,24-Jan-12,-,V,Vocational Education,N,None,09:10:11:12,09:10:11:12,09:10:11:12,-,-,-,-,-,-,P,Public,5,Piedmont Triad,-,-,3.70003E+11,-,-,-,-,-,N,-,0,15,Y,15-Aug-11,-,N,-,All high schools,-,1,Alamance,2011,41,"Rural, Fringe",N,-,04-28-2010 02:36PM,nicola_lefler,06-03-2016 03:59PM,RON
103122018,10312,2018,Highland Elementary,Highland Elementary,10,Alamance-Burlington Schools,Ms,Hollis,-,Wroblewski,-,hollis_wroblewski@abss.k12.nc.us,3720 Bonnar Bridge Parkway,-,Burlington,NC,27215,-,336,538,8700,336,538,8705,-,-,-,-,-,-,http://hle.abss.k12.nc.us,1,Open,2-Jul-07,-,R,Regular School,N,None,KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,-,-,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
103202018,10320,2018,E M Yoder Elementary,E M Yoder Elementary,10,Alamance-Burlington Schools,Ms,Leslie,-,Eldreth,-,leslie_eldreth@abss.k12.nc.us,301 N Charles Street,-,Mebane,NC,27302,2328,919,563,3722,919,563,9079,-,-,-,-,-,-,http://eye.abss.k12.nc.us,1,Open,30-Jun-90,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,09-26-2014 08:50AM,iris_scott
103242018,10324,2018,Eastern Alamance High,Eastern Alamance High,10,Alamance-Burlington Schools,Ms,Diane,-,Hill,-,diane_hill@abss.k12.nc.us,4040 Mebane Rogers,-,Mebane,NC,27302,9729,919,563,5991,919,563,6114,-,-,-,-,-,-,http://eah.abss.k12.nc.us,1,Open,30-Jun-90,-,R,Regular School,N,None,09:10:11:12,-,-,-,T,Traditional,-,S,Semester,P,Public,5,Piedmont Triad,SA,SACS,3.70003E+11,342575,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,05-03-2010 05:21PM,ADMIN
